# Global 784,000 Year Proxy and Model Temperature Reconstructions
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/21210 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/reconstructions/friedrich2016/friedrich2016temp.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#
# Parameter_Keywords: air temperature
#--------------------
# Contribution_Date
#	Date: 2017-01-03
#--------------------
# Title
#	Study_Name: Global 784,000 Year Proxy and Model Temperature Reconstructions
#--------------------
# Investigators
# 	Investigators: Friedrich, T.; Timmermann, A.; Tigchelaar, M.; Timm, O.E.; Ganopolski, A.
#--------------------
# Description_and_Notes
#	Description: Globally-averaged Surface Air Temperature anomaly reconstructed from proxy and model data for the last eight glacial cycles.
#--------------------
# Publication 
#	Authors: Tobias Friedrich, Axel Timmermann, Michelle Tigchelaar, Oliver Elison Timm, Andrey Ganopolski
#	Published_Date_or_Year: 2016-11-09 
#	Published_Title: Nonlinear climate sensitivity and its implications for future greenhouse warming
#	Journal_Name: Science Advances
#	Volume: 2
#	Edition: e1501923
#	Issue: 11
#	Pages: 
#	Report_Number: 
#	DOI: 10.1126/sciadv.1501923 
#	Online_Resource: http://advances.sciencemag.org/content/2/11/e1501923
#	Full_Citation: 
#	Abstract: Global mean surface temperatures are rising in response to anthropogenic greenhouse gas emissions. The magnitude of this warming at equilibrium for a given radiative forcing - referred to as specific equilibrium climate sensitivity (S) - is still subject to uncertainties. We estimate global mean temperature variations and S using a 784,000-year-long field reconstruction of sea surface temperatures and a transient paleoclimate model simulation. Our results reveal that S is strongly dependent on the climate background state, with significantly larger values attained during warm phases. Using the Representative Concentration Pathway 8.5 for future greenhouse radiative forcing, we find that the range of paleo-based estimates of Earth's future warming by 2100 CE overlaps with the upper range of climate simulations conducted as part of the Coupled Model Intercomparison Project Phase 5 (CMIP5). Furthermore, we find that within the 21st century, global mean temperatures will very likely exceed maximum levels reconstructed for the last 784,000 years. On the basis of temperature data from eight glacial cycles, our results provide an independent validation of the magnitude of current CMIP5 warming projections.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: 1341311, 1400914
#------------------
# Site_Information 
#	Site_Name: Global
#	Location: Geographic Region>Global
#	Country:  
#	Northernmost_Latitude: 90.0
#	Southernmost_Latitude: -90.0
#	Easternmost_Longitude: 180.0
#	Westernmost_Longitude: -180.0
#	Elevation:  m  
#------------------
# Data_Collection   
#	Collection_Name: Friedrich2016temp
#	Earliest_Year: 783000
#	Most_Recent_Year: 0
#	Time_Unit:  Cal. Year BP
#	Core_Length: m
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## age_calkaBP	age, , , calendar Kyears before present, , , , ,N
## tempanom-mod	surface temperature anomaly, , , degrees C, , Climate Modeling, , modeled,N 
## tempanom-pxy	surface temperature anomaly, , , degrees C, , Climate Reconstructions, , proxy based,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: -999
#
age_calkaBP	tempanom-mod	tempanom-pxy
783	2.85	1.75
782	2.73	1.98
781	2.43	1.79
780	2.21	1.76
779	2.01	1.59
778	1.98	1.01
777	1.90	0.95
776	1.76	0.66
775	1.51	0.66
774	1.34	0.31
773	1.15	0.15
772	0.95	-0.17
771	0.88	-0.10
770	1.10	-0.24
769	0.84	-0.62
768	0.61	-0.33
767	0.29	-0.18
766	-0.08	-0.14
765	-0.20	-0.03
764	-0.21	0.05
763	-0.39	0.08
762	-0.78	-0.15
761	-1.29	0.14
760	-1.69	-0.09
759	-1.27	-0.57
758	-1.00	-0.95
757	-0.89	-0.61
756	-1.18	-0.18
755	-1.46	0.35
754	-1.85	0.08
753	-2.05	-0.24
752	-2.14	-0.50
751	-2.21	-0.82
750	-2.32	-1.01
749	-2.33	-1.15
748	-2.40	-1.40
747	-2.43	-1.73
746	-2.38	-2.01
745	-2.36	-1.81
744	-2.39	-1.73
743	-2.45	-1.79
742	-2.37	-1.63
741	-2.56	-1.53
740	-2.56	-1.34
739	-2.23	-0.90
738	-1.67	-0.66
737	-1.14	-0.45
736	-0.89	-0.36
735	-0.58	-0.41
734	-0.47	-0.46
733	-0.62	-0.38
732	-0.98	-0.43
731	-1.08	-0.14
730	-1.16	0.00
729	-1.30	-0.23
728	-1.56	-0.34
727	-1.75	-0.51
726	-2.03	-0.46
725	-2.11	-0.63
724	-2.09	-0.90
723	-1.96	-1.16
722	-1.91	-1.05
721	-1.99	-1.28
720	-2.30	-1.30
719	-2.58	-1.38
718	-2.56	-1.47
717	-2.27	-1.52
716	-1.65	-1.51
715	-0.80	-1.77
714	0.14	-1.81
713	0.69	-0.69
712	0.63	-0.44
711	0.78	-0.50
710	0.92	-0.02
709	0.98	0.39
708	1.04	1.20
707	1.16	1.40
706	1.27	1.86
705	1.26	1.87
704	1.41	1.78
703	1.50	1.15
702	1.44	0.97
701	1.42	1.31
700	1.42	1.09
699	1.49	1.21
698	1.66	1.14
697	1.87	1.13
696	2.10	1.02
695	2.19	0.94
694	2.16	0.73
693	1.95	0.88
692	1.98	2.16
691	1.90	1.23
690	1.97	0.23
689	1.96	1.57
688	1.72	1.79
687	1.38	0.67
686	0.99	-0.21
685	0.53	-0.86
684	0.05	-0.60
683	-0.48	-0.12
682	-0.58	0.02
681	-0.85	-0.65
680	-1.20	-0.77
679	-0.96	-1.04
678	-0.63	-0.93
677	-0.71	-0.93
676	-0.63	-1.00
675	-0.27	-1.33
674	-0.03	-0.76
673	-0.13	-0.88
672	-0.51	-1.37
671	-0.77	-1.41
670	-1.05	-1.77
669	-1.51	-1.77
668	-2.11	-1.93
667	-2.42	-1.74
666	-2.56	-2.12
665	-2.54	-1.76
664	-2.51	-1.91
663	-2.46	-1.83
662	-2.64	-1.97
661	-2.66	-1.84
660	-2.75	-1.54
659	-2.80	-1.42
658	-2.64	-1.01
657	-2.48	-0.98
656	-2.24	-0.89
655	-1.99	-1.22
654	-2.19	-1.32
653	-2.33	-1.34
652	-2.42	-1.36
651	-2.33	-1.57
650	-2.36	-1.23
649	-2.29	-1.49
648	-2.38	-1.27
647	-2.43	-1.45
646	-2.54	-1.71
645	-2.47	-1.60
644	-2.57	-1.68
643	-2.65	-1.81
642	-2.80	-1.64
641	-2.88	-1.73
640	-2.91	-1.97
639	-2.97	-1.56
638	-2.86	-1.48
637	-2.82	-1.38
636	-2.83	-1.61
635	-2.81	-1.59
634	-2.84	-1.83
633	-2.73	-1.98
632	-2.58	-1.87
631	-2.47	-1.96
630	-2.34	-2.09
629	-2.26	-2.34
628	-2.07	-2.27
627	-1.65	-2.01
626	-0.82	-1.43
625	0.21	-1.18
624	1.32	-0.96
623	1.63	-0.70
622	1.92	-0.28
621	2.09	-0.18
