Pos	Channel	Cell	MothCell	BirthFr	DivFr	Td	Tri1	Tri2	Tri3	Trt	Tn	Tc	Lb	Lri1	Lri2	Lri3	Lrt	Ln	Lc	Ld	Time
5	1	10	1	5	44	156	-8	176	176	96	88	104	1,182	1,124	2,351	2,351	1,822	1,751	1,91	2,375	-184
6	1	2	2	9	45	144	8	132	136	92	104	104	1,146	1,325	2,47	2,518	1,758	2,075	2,075	2,704	-180
5	3	17	1	21	45	96	-52	88	92	40	44	44	1,496	1,139	2,556	2,64	1,923	1,934	1,934	2,758	-180
4	2	3	3	15	47	128	-8	124	124	72	84	96	1,504	1,402	2,935	2,935	2,098	2,326	2,486	2,932	-172
2	2	13	1	17	47	120	-48	104	108	48	56	52	1,288	1,118	2,367	2,433	1,623	1,714	1,673	2,628	-172
7	2	2	2	8	47	156	4	120	120	76	104	104	1,39	1,535	2,696	2,696	1,946	2,4	2,4	3,243	-172
7	2	10	2	8	48	160	4	132	136	92	104	100	1,225	1,236	2,608	2,447	1,695	2,182	2,138	3,171	-168
5	1	1	1	6	48	168	-8	156	156	108	116	116	1,113	1,079	2,296	2,296	1,762	1,797	1,797	2,507	-168
8	2	1	1	15	48	132	0	152	164	76	80	80	1,235	1,235	2,706	2,876	1,863	1,882	1,882	2,47	-168
2	1	14	1	13	48	140	-8	136	132	80	88	92	1,417	1,368	2,735	2,665	2,054	2,203	2,21	2,825	-168
5	3	3	3	17	48	124	-24	136	140	52	88	88	1,34	1,245	2,779	2,923	1,646	2,239	2,239	2,619	-168
8	2	12	1	16	49	132	-4	128	124	72	76	84	1,431	1,385	3,032	3,01	2,083	2,096	2,253	3,149	-164
2	4	1	1	19	50	124	-68	96	88	36	60	72	1,378	1,006	2,34	2,219	1,654	1,886	1,987	2,81	-160
2	1	1	1	12	50	152	-12	140	136	96	92	100	1,08	1,004	2,293	2,238	1,824	1,806	1,847	2,513	-160
1	3	1	1	20	50	120	-72	112	104	16	52	56	1,427	1,189	2,503	2,413	1,545	1,835	1,85	2,571	-160
4	2	11	1	22	50	112	-48	96	88	40	56	64	1,652	1,454	2,855	2,717	1,878	2,103	2,214	3,044	-160
6	2	3	3	17	50	132	4			88	100	100	1,168	1,106			1,811	2,087	2,087	2,664	-160
4	3	2	2	19	51	128	-32	84	84	48	56	72	1,453	1,284	2,406	2,406	1,817	1,914	2,169	3,091	-156
