Lip,Li,Lb,Ld,Td,Tri1
1.284,1.132,1.436,2.798,104,-44
1.139,1.232,1.352,3.14,128,-8
1.325,1.234,1.336,3.371,132,-12
1.139,1.093,1.29,3.034,132,-20
0.944,1.139,1.487,3.044,100,-56
1.292,1.289,1.382,2.475,112,-24
1.535,1.316,1.564,3.097,136,-36
1.171,1.362,1.518,2.535,108,-8
1.368,1.32,1.425,2.847,132,-8
0.926,1.362,1.523,2.994,120,-28
1.218,1.134,1.343,3.325,100,-48
1.079,1.149,1.285,2.563,136,-16
1.118,1.149,1.265,2.622,140,-20
1.335,1.035,1.395,2.726,116,-48
1.124,1.084,1.089,2.604,156,8
1.171,1.1,1.333,2.407,116,-16
0.944,0.99,1.438,3.235,116,-60
0.923,1.247,1.494,2.867,116,-48
1.335,1.023,1.294,2.541,124,-36
1.006,1.104,1.298,3.194,140,-40
1.004,1.071,1.089,2.386,140,-8
1.006,1.016,1.367,3.536,140,-32
1.297,0.99,1.512,2.861,112,-68
1.079,1.122,1.087,2.349,152,-12
1.338,1.313,1.467,2.639,116,-32
1.189,1.197,1.283,2.521,148,-16
1.093,1.096,1.185,2.994,132,-8
1.138,1.279,1.391,2.907,140,-12
0.926,0.986,1.205,2.698,140,-40
1.454,1.346,1.441,3.093,148,-24
1.124,1.08,1.142,2.61,176,16
1.098,1.253,1.218,2.762,136,-4
1.065,1.33,1.432,3.067,124,-8
1.005,1.413,1.664,3.149,108,-28
1.189,1.058,1.143,2.74,156,-8
1.138,1.166,1.406,2.772,152,-16
1.065,1.207,1.454,2.769,128,-20
1.235,1.3,1.197,2.545,164,20
1.297,1.246,1.755,3.563,124,-76
1.338,1.116,1.273,2.345,128,-32
1.146,1.305,1.452,2.658,112,-16
0.923,0.954,1.263,3.043,140,-56
1.261,1.077,1.339,3.486,156,-28
1.235,1.353,1.076,2.869,180,40
1.454,1.269,1.455,3.578,168,-24
1.098,0.994,1.021,3.013,148,-16
1.172,1.066,1.223,2.466,124,-24
0.99,1.111,1.389,2.75,152,-40
1.368,1.223,1.249,2.406,180,-4
1.261,1.274,1.275,3.036,172,-4
0.92,0.927,1.338,2.944,112,-56
0.99,1.053,1.314,2.7,164,-28
1.004,1.227,1.293,2.414,180,-20
1.112,1.214,1.288,2.945,156,-12
1.146,1.151,1.499,3.066,136,-28
1.438,1.647,1.63,3.233,140,4
1.208,1.187,1.162,2.819,168,4
1.214,1.125,1.115,2.958,156,12
1.208,1.207,1.166,2.657,168,8
1.064,1.209,1.23,2.635,144,20
1.146,1.151,1.499,3.293,140,-28
