Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
1,1,1,1,37,96,1.626,2.1,4.314,4.221,2.537,2.564,2.638,2.986,310,1000.0,980.0,480,490,510,590
1,1,1,1,96,166,1.532,2.184,4.209,4.369,2.606,2.806,2.699,3.229,410,1000.0,1020.0,560,600,580,700
1,1,1,1,166,229,1.704,2.104,,,2.525,2.576,2.598,3.001,290,,,490,510,520,630
1,1,5,2,25,116,1.097,1.995,,,2.165,2.165,2.392,2.661,540,,,740,740,800,910
1,1,6,1,37,111,1.419,1.919,,,2.214,2.376,2.376,2.788,360,,,590,630,630,740
1,1,7,1,96,159,1.453,2.036,,,2.44,2.454,2.44,2.781,370,,,550,560,550,630
1,1,11,1,166,235,1.526,2.201,,,2.3,2.785,2.785,3.183,320,,,530,600,600,690
1,3,1,1,51,145,1.604,2.053,,3.919,2.734,2.766,3.015,3.247,310,,1240.0,650,720,860,940
1,3,2,2,68,120,1.353,1.467,,,2.046,2.172,2.274,2.47,150,,,360,400,440,520
1,3,14,1,54,114,1.4,1.567,3.461,3.702,1.948,2.061,2.131,2.514,220,1030.0,1080.0,390,480,510,600
1,3,14,14,114,188,1.259,1.711,,,2.25,2.25,2.18,2.721,430,,,610,610,600,740
1,3,15,2,68,113,1.314,1.469,,,1.724,2.058,2.027,2.451,160,,,270,360,350,450
1,3,17,14,114,192,1.255,1.902,,,2.134,2.37,2.121,2.976,490,,,640,710,660,780
1,3,19,1,145,227,1.488,1.8,,,2.165,2.306,2.404,2.708,270,,,540,670,710,820
1,5,1,1,49,131,1.621,1.996,,3.651,2.359,2.455,2.477,2.768,430,,1310.0,650,690,700,820
1,5,2,2,28,90,1.736,1.918,3.901,3.834,2.482,2.673,2.894,3.259,130,870.0,860.0,360,420,500,620
1,5,2,2,90,148,1.612,1.95,3.607,3.14,2.243,2.402,2.402,2.812,240,850.0,740.0,410,470,470,580
1,5,3,3,19,64,1.54,1.665,,,2.018,2.121,2.294,2.709,110,,,250,300,340,450
1,5,12,2,32,99,1.491,1.773,,,2.104,2.147,2.373,2.828,260,,,440,500,560,670
1,5,13,1,46,119,1.399,1.825,3.999,4.009,2.148,2.373,2.424,2.802,330,1280.0,1290.0,480,600,620,730
1,5,13,13,119,202,1.439,2.039,,,2.511,2.517,2.546,3.021,540,,,700,710,720,830
1,5,17,13,119,211,1.363,1.941,,,2.357,2.53,2.53,2.873,550,,,740,800,800,920
1,5,18,1,131,219,1.197,1.652,,,2.238,2.368,2.433,2.657,460,,,700,760,780,880
2,1,1,1,36,162,1.54,2.171,3.534,3.59,2.587,2.579,2.715,3.312,710,1320.0,1330.0,1050,1090,1140,1260
2,1,1,1,162,201,1.752,1.812,,,2.279,2.395,2.438,2.795,40,,,230,280,290,390
2,1,3,3,18,84,1.293,1.561,,,2.087,2.322,2.494,2.758,260,,,450,570,600,660
2,1,11,2,19,80,1.18,1.353,,,2.025,2.243,2.028,2.446,290,,,470,550,510,610
2,1,12,3,18,80,1.343,1.584,,,2.01,2.165,2.451,2.781,260,,,450,500,560,620
2,1,13,1,37,165,1.374,2.006,4.507,4.459,2.594,3.305,2.841,3.867,510,1570.0,1710.0,820,1150,1010,1280
2,1,13,13,172,225,1.911,2.382,,,2.421,2.379,2.567,3.013,220,,,360,350,400,530
2,1,20,1,162,199,1.56,1.698,,3.257,2.109,2.365,2.197,2.648,60,,720.0,220,300,250,370
2,2,1,1,86,162,1.809,2.177,3.83,4.182,2.738,2.784,2.713,3.244,370,980.0,1070.0,610,620,600,760
2,2,1,1,162,217,1.739,2.011,,,2.438,2.573,2.87,3.127,210,,,370,420,480,550
2,2,2,2,64,135,1.517,1.629,3.708,3.62,2.045,2.602,2.493,2.917,290,1140.0,1110.0,470,640,610,710
2,2,2,2,135,213,1.469,2.141,,,2.448,2.605,2.435,2.823,440,,,610,730,690,780
2,2,16,2,64,141,1.281,1.69,3.847,,2.302,2.342,2.457,2.479,380,1270.0,,610,640,700,770
2,2,17,1,86,168,1.592,1.872,,,2.238,2.333,2.48,2.786,300,,,560,640,710,820
2,2,18,2,135,205,1.448,1.519,,,2.025,2.329,2.469,2.539,380,,,590,650,670,700
2,3,1,1,7,54,1.72,2.046,3.868,4.325,2.662,2.773,2.85,3.324,150,840.0,960.0,330,400,430,470
2,3,1,1,53,126,1.758,2.353,5.191,3.979,2.839,2.939,3.186,3.156,360,1230.0,1020.0,610,640,680,730
2,3,1,1,127,204,1.754,2.407,,,2.331,2.474,2.581,2.876,480,,,630,690,710,770
2,3,3,3,6,60,1.348,1.593,3.707,3.154,1.909,1.953,2.209,2.509,270,880.0,810.0,390,410,450,540
2,3,9,1,7,60,1.425,1.725,3.993,3.844,2.489,2.768,2.621,2.811,210,980.0,940.0,430,500,440,530
2,3,10,3,6,69,1.389,1.608,,,1.953,2.142,2.289,2.82,180,,,410,480,540,630
