Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
1,1,2,2,54,108,1.654,1.711,4.115,4.153,2.596,2.917,2.803,3.253,36,296.0,300.0,148,180,172,216
1,1,2,2,107,161,1.697,2.004,4.466,4.22,2.773,3.11,3.042,3.459,76,280.0,264.0,148,180,176,216
1,1,2,2,161,208,1.743,2.177,4.258,4.258,2.819,3.181,3.019,3.597,60,244.0,244.0,132,160,148,188
1,1,2,2,208,264,1.816,1.999,3.751,4.103,2.737,2.964,2.964,3.551,56,240.0,276.0,160,184,184,224
1,1,2,2,264,309,2.009,2.134,,,2.815,2.759,2.942,3.475,20,,,132,128,144,180
1,1,3,3,56,112,1.636,2.114,4.18,3.968,2.65,2.898,2.813,3.351,84,312.0,296.0,176,192,184,224
1,1,13,2,54,109,1.572,1.976,4.416,4.476,2.865,3.199,3.098,3.857,68,256.0,248.0,164,184,180,220
1,1,13,13,109,150,1.887,2.15,3.752,3.781,2.914,3.084,3.084,3.524,32,176.0,180.0,116,132,132,164
1,1,13,13,150,187,1.834,1.933,4.749,3.568,2.805,2.927,2.805,3.837,12,204.0,208.0,108,116,108,148
1,1,15,2,108,167,1.526,2.095,3.966,3.966,2.84,3.168,3.157,3.635,88,256.0,256.0,180,204,200,236
1,1,15,15,167,224,1.72,1.831,,3.737,2.451,2.922,2.825,3.29,16,,272.0,156,192,184,228
1,1,16,13,109,145,1.97,2.264,3.442,,2.751,2.751,2.801,3.338,28,184.0,,112,112,116,144
1,1,20,2,161,214,1.716,2.125,3.645,3.839,2.875,3.021,3.021,3.545,48,244.0,268.0,144,168,168,212
1,1,21,15,167,209,1.915,1.855,4.059,4.059,2.87,2.914,2.89,3.026,24,232.0,232.0,128,136,132,168
1,1,25,2,208,260,1.781,2.302,4.268,4.115,3.074,3.156,3.254,3.82,60,284.0,276.0,148,156,168,208
1,1,27,20,214,272,1.768,1.766,,,2.376,2.745,2.644,3.17,56,,,152,192,184,232
1,2,1,1,179,218,1.724,1.544,3.316,2.988,1.974,2.489,2.489,3.075,-84,184.0,152.0,36,112,112,156
