Lip,Li,Ld,Lb
1.284,1.132,2.798,1.436
1.139,1.232,3.14,1.352
1.325,1.234,3.371,1.336
1.139,1.093,3.034,1.29
0.944,1.139,3.044,1.487
1.292,1.289,2.475,1.382
1.535,1.316,3.097,1.564
1.171,1.362,2.535,1.518
1.368,1.32,2.847,1.425
0.926,1.362,2.994,1.523
1.218,1.134,3.325,1.343
1.079,1.149,2.563,1.285
1.118,1.149,2.622,1.265
1.335,1.035,2.726,1.395
1.124,1.084,2.604,1.089
1.171,1.1,2.407,1.333
0.944,0.99,3.235,1.438
0.923,1.247,2.867,1.494
1.335,1.023,2.541,1.294
1.006,1.104,3.194,1.298
1.004,1.071,2.386,1.089
1.006,1.016,3.536,1.367
1.297,0.99,2.861,1.512
1.079,1.122,2.349,1.087
1.338,1.313,2.639,1.467
1.189,1.197,2.521,1.283
1.093,1.096,2.994,1.185
1.138,1.279,2.907,1.391
0.926,0.986,2.698,1.205
1.454,1.346,3.093,1.441
1.124,1.08,2.61,1.142
1.098,1.253,2.762,1.218
1.065,1.33,3.067,1.432
1.005,1.413,3.149,1.664
1.189,1.058,2.74,1.143
1.138,1.166,2.772,1.406
1.065,1.207,2.769,1.454
1.235,1.3,2.545,1.197
1.297,1.246,3.563,1.755
1.338,1.116,2.345,1.273
1.146,1.305,2.658,1.452
0.923,0.954,3.043,1.263
1.261,1.077,3.486,1.339
1.235,1.353,2.869,1.076
1.454,1.269,3.578,1.455
1.098,0.994,3.013,1.021
1.172,1.066,2.466,1.223
0.99,1.111,2.75,1.389
1.368,1.223,2.406,1.249
1.261,1.274,3.036,1.275
0.92,0.927,2.944,1.338
0.99,1.053,2.7,1.314
1.004,1.227,2.414,1.293
1.112,1.214,2.945,1.288
1.146,1.151,3.066,1.499
1.438,1.647,3.233,1.63
1.208,1.187,2.819,1.162
1.214,1.125,2.958,1.115
1.208,1.207,2.657,1.166
1.064,1.209,2.635,1.23
1.146,1.151,3.293,1.499
1.184,1.323,2.983,1.684
1.062,1.258,2.994,1.417
1.457,1.408,2.865,1.625
1.112,1.078,2.743,1.107
1.005,1.294,3.24,1.392
1.184,0.904,2.968,1.506
1.184,0.904,2.968,1.522
1.085,1.03,2.902,1.537
1.064,1.373,2.954,1.225
1.115,1.415,3.466,1.615
1.214,1.506,3.253,1.571
1.438,1.379,3.267,1.414
1.271,1.183,2.693,1.471
1.425,1.287,3.349,1.47
1.104,1.111,2.99,1.66
1.139,1.122,3.17,1.573
1.115,1.195,2.837,1.43
1.139,1.126,2.988,1.489
1.238,1.192,2.411,1.223
0.943,1.174,2.752,1.384
1.183,1.381,3.204,1.33
0.92,1.182,3.56,1.527
1.183,1.289,2.896,1.068
1.093,0.965,3.351,1.747
1.174,1.322,3.544,1.456
1.2,1.313,3.127,1.499
1.072,1.247,3.286,1.609
1.2,1.235,3.074,1.478
0.981,1.255,2.878,1.395
1.172,1.296,3.358,1.362
1.114,0.978,3.341,1.628
1.181,1.25,2.224,1.411
0.943,1.11,2.723,1.511
1.114,1.007,3.153,1.734
1.145,1.148,2.565,1.233
1.271,1.28,3.243,1.403
1.16,1.279,2.409,1.279
1.261,1.139,3.444,1.129
1.115,1.069,3.944,1.507
