Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
1,2,2,2,21,93,1.677,1.984,3.831,3.788,2.805,2.848,3.025,3.621,104.0,316.0,312.0,228,232,248,288
1,2,2,2,93,141,1.948,2.038,3.839,3.839,2.757,2.908,2.996,3.701,28.0,196.0,196.0,120,136,144,192
1,2,2,2,141,173,1.876,1.664,2.77,2.764,2.237,2.051,2.186,2.729,-24.0,144.0,140.0,64,72,88,128
1,2,2,2,173,212,1.365,1.383,3.097,3.097,1.872,2.103,2.103,2.771,20.0,188.0,188.0,88,112,112,156
1,2,3,3,13,79,1.397,1.505,3.115,3.115,2.44,2.805,2.718,3.528,48.0,244.0,244.0,192,224,216,264
1,2,3,3,79,112,1.789,1.52,3.371,3.333,2.067,2.423,2.583,3.268,-24.0,152.0,148.0,36,68,80,132
1,2,5,2,20,93,1.545,2.162,4.067,3.966,3.006,3.195,3.006,3.957,120.0,312.0,296.0,208,228,208,292
1,2,5,5,93,175,1.913,2.168,,,2.602,2.72,2.745,3.377,108.0,,,212,236,240,328
1,2,8,5,93,143,2.044,2.05,3.67,3.67,2.405,2.781,2.861,3.479,4.0,216.0,216.0,84,136,144,200
1,2,9,2,94,150,1.696,1.76,,,2.515,2.515,2.709,3.331,20.0,,,136,136,160,224
1,2,9,9,150,205,1.717,1.836,3.264,3.264,2.428,3.473,3.318,4.355,32.0,168.0,168.0,112,180,172,220
1,2,12,2,141,168,1.825,1.761,3.321,3.344,2.469,2.681,2.681,3.196,-4.0,128.0,120.0,56,72,72,108
1,2,12,12,168,208,1.618,1.775,3.47,3.498,2.54,2.564,2.638,3.198,36.0,184.0,188.0,116,120,124,160
1,2,12,12,209,250,1.777,1.885,3.443,3.542,2.754,2.92,2.81,3.498,20.0,172.0,180.0,116,128,120,164
1,2,14,12,168,204,1.578,1.615,,,2.159,2.508,2.743,3.31,16.0,,,72,100,108,144
1,2,16,2,173,214,1.365,1.382,3.316,3.316,2.111,2.451,2.604,3.278,12.0,168.0,168.0,84,112,120,164
1,2,16,16,213,264,1.56,1.59,3.257,3.257,2.467,2.677,2.82,3.423,4.0,196.0,196.0,132,160,172,204
1,2,20,16,213,258,1.657,1.961,3.712,3.682,2.719,2.882,2.992,3.505,36.0,196.0,192.0,116,128,136,180
1,2,21,2,211,257,1.348,1.48,,,2.359,2.491,2.491,2.924,20.0,,,120,136,136,184
1,3,1,1,57,134,1.826,2.011,3.36,3.36,2.687,2.71,2.798,3.318,112.0,316.0,316.0,232,224,248,308
1,3,1,1,131,180,1.701,1.773,3.235,3.169,2.221,2.318,2.496,2.897,16.0,224.0,220.0,120,128,160,196
1,3,1,1,182,239,1.488,1.169,,,1.864,1.92,2.178,2.683,-72.0,,,128,136,176,228
1,3,2,2,44,93,1.537,1.592,,,2.081,2.304,2.423,3.017,12.0,,,108,132,148,196
1,3,2,2,93,154,1.529,1.771,3.474,3.474,2.566,2.732,2.945,3.557,60.0,236.0,236.0,160,176,200,244
1,3,2,2,154,190,1.798,1.648,3.119,3.119,2.155,2.667,2.631,3.443,-32.0,128.0,128.0,60,104,100,144
1,3,9,2,42,100,1.509,1.737,3.246,3.439,2.546,2.64,2.64,3.576,44.0,208.0,224.0,148,160,160,232
1,3,12,12,181,213,1.849,1.692,3.421,3.421,2.562,2.833,2.833,3.587,-16.0,124.0,124.0,72,88,88,128
1,3,13,9,96,140,1.735,1.738,,,2.325,2.678,2.59,3.641,4.0,,,104,132,128,176
1,3,14,2,93,169,1.488,1.858,2.983,3.015,2.821,3.225,3.452,3.805,56.0,224.0,228.0,204,252,276,304
1,3,15,1,131,194,1.535,1.548,2.943,2.943,2.16,2.211,2.675,3.22,4.0,216.0,216.0,124,128,196,252
1,3,15,15,194,237,1.553,1.443,3.266,2.898,1.925,2.067,2.269,2.785,-40.0,196.0,192.0,76,96,116,172
1,3,19,12,182,216,2.138,1.871,3.267,3.589,2.638,3.109,3.066,4.028,-24.0,96.0,104.0,48,92,88,136
1,3,21,15,194,251,1.667,1.571,2.898,2.898,2.183,2.451,3.188,4.126,-24.0,176.0,176.0,104,132,188,228
1,3,21,21,251,276,1.934,1.413,3.301,2.897,2.011,2.676,2.893,3.642,-56.0,80.0,76.0,8,44,68,100
1,3,22,1,178,244,1.432,1.532,3.055,3.055,2.434,2.596,2.875,3.696,24.0,216.0,216.0,144,160,200,264
1,3,26,15,237,283,1.392,1.425,2.896,2.896,2.07,2.325,2.854,3.008,20.0,176.0,176.0,112,120,140,184
1,5,2,2,31,77,2.022,2.054,3.926,3.907,2.62,2.663,2.792,4.074,16.0,192.0,196.0,108,116,128,184
1,5,2,2,78,115,2.387,2.387,2.854,3.107,2.207,2.134,2.223,2.736,0.0,160.0,192.0,96,100,108,148
1,5,2,2,115,158,1.368,1.427,3.172,3.172,1.957,2.052,2.31,2.885,12.0,192.0,192.0,92,104,128,172
1,5,2,2,158,210,1.443,1.522,3.056,3.055,2.248,2.437,2.437,3.055,12.0,212.0,208.0,140,156,156,208
1,5,3,3,20,61,1.878,1.912,3.574,3.574,2.406,2.84,2.935,3.41,12.0,180.0,180.0,88,116,124,164
1,5,3,3,61,105,1.738,1.839,3.631,3.579,2.768,2.768,2.973,3.544,16.0,184.0,180.0,120,120,136,176
1,5,4,4,19,50,2.358,1.776,2.833,2.878,2.382,2.647,2.926,3.847,-36.0,76.0,80.0,20,64,84,124
1,5,7,3,19,56,1.74,1.813,3.906,3.607,2.812,2.812,2.933,3.607,20.0,168.0,148.0,100,100,112,148
1,5,7,7,56,88,1.743,1.914,3.707,3.805,2.8,2.984,3.24,3.797,16.0,116.0,124.0,76,84,92,128
1,5,8,2,29,87,1.509,1.629,3.272,3.293,2.184,2.392,2.626,3.115,24.0,244.0,248.0,132,160,184,232
1,5,8,8,88,149,1.633,1.646,2.804,3.228,2.695,2.705,3.68,4.143,8.0,168.0,184.0,152,156,208,244
1,5,12,2,78,118,1.604,1.646,3.072,3.269,2.129,2.362,2.703,3.293,8.0,148.0,156.0,76,104,128,160
1,5,12,12,118,168,1.683,1.58,3.196,3.196,2.515,2.702,2.881,3.618,-12.0,164.0,164.0,100,120,140,200
1,5,14,8,87,136,1.507,1.623,3.028,3.106,2.23,2.633,2.808,3.676,16.0,172.0,176.0,100,140,156,196
1,5,16,12,118,148,1.611,1.591,3.188,2.978,2.285,2.414,2.449,2.891,-4.0,144.0,132.0,76,84,88,120
1,5,17,2,115,155,1.368,1.722,3.316,3.316,2.394,2.509,2.629,3.291,48.0,164.0,164.0,108,112,124,160
1,5,17,17,155,189,1.687,1.751,3.448,3.678,2.568,2.574,2.638,3.236,8.0,156.0,168.0,100,96,104,136
1,5,23,2,157,191,1.441,1.734,3.095,2.984,2.265,2.422,2.644,3.021,24.0,156.0,148.0,84,96,108,136
1,5,23,23,191,229,1.601,1.789,5.019,4.979,2.78,2.744,2.744,3.623,28.0,164.0,172.0,112,120,120,152
1,5,24,17,189,227,1.727,1.974,,,2.921,2.863,3.084,3.836,36.0,,,128,124,136,152
1,5,25,23,191,227,1.42,1.389,4.564,3.716,2.304,2.447,2.65,3.173,12.0,164.0,156.0,92,100,108,144
2,2,2,2,12,47,1.858,1.931,3.448,3.448,2.678,2.753,2.806,3.311,16.0,160.0,160.0,84,96,104,140
2,2,2,2,49,85,1.931,1.978,3.197,3.326,2.15,2.507,2.507,2.81,12.0,180.0,188.0,96,100,100,144
2,2,2,2,86,128,1.432,1.557,3.495,3.417,2.221,2.254,2.457,2.903,36.0,212.0,208.0,108,112,128,168
2,2,5,2,12,49,1.552,1.612,3.139,3.139,2.36,2.517,2.564,3.041,8.0,152.0,152.0,88,104,108,148
2,2,5,5,48,92,1.398,1.435,3.196,3.073,2.455,2.566,3.046,3.737,4.0,148.0,140.0,88,96,136,176
