Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
1,2,1,1,34,72,1.348,1.24,2.185,2.185,1.833,2.185,2.538,3.289,-20,104.0,104.0,72,104,120,152
1,2,1,1,72,98,1.635,1.037,2.942,2.932,1.816,2.105,2.449,2.944,-52,116.0,112.0,24,56,80,104
1,2,1,1,98,137,1.487,1.457,,,2.256,2.029,2.256,2.429,12,,,120,100,120,156
1,2,2,2,27,59,1.514,1.552,2.829,3.036,2.252,2.289,2.487,2.907,4,124.0,136.0,72,76,96,128
1,2,2,2,60,98,1.574,1.34,3.06,3.06,2.224,2.249,2.461,2.978,-20,160.0,160.0,84,88,108,152
1,2,3,3,45,75,1.551,1.446,2.686,3.047,1.907,2.217,2.765,3.082,-16,96.0,112.0,40,72,92,120
1,2,12,2,27,59,1.345,1.292,2.727,2.8,2.325,2.283,2.48,2.908,-8,116.0,120.0,88,84,100,128
1,2,14,1,32,76,1.526,1.453,2.475,2.475,2.203,2.537,2.846,3.455,-8,116.0,116.0,88,120,140,176
1,2,14,14,76,109,1.674,1.238,2.94,2.889,1.941,2.237,2.465,2.861,-60,144.0,136.0,24,68,96,132
1,2,20,2,60,88,1.414,1.321,3.161,3.083,2.019,2.126,2.463,2.761,-24,136.0,128.0,52,64,88,112
1,2,21,1,71,108,1.57,1.093,3.064,3.165,1.766,2.488,2.419,2.936,-44,172.0,184.0,20,116,112,148
1,2,22,14,76,102,1.781,1.238,3.201,3.026,1.982,2.341,2.748,3.026,-60,112.0,104.0,16,52,84,104
1,2,22,22,102,130,1.51,1.621,3.032,,2.341,2.501,2.776,3.271,8,100.0,,68,76,88,112
1,3,2,2,19,69,1.253,1.284,2.285,2.411,1.684,2.092,2.285,2.873,12,160.0,168.0,84,148,160,200
1,3,2,2,70,96,1.358,1.142,2.914,2.909,1.825,1.989,2.162,2.469,-44,120.0,124.0,40,56,72,104
1,3,10,10,74,108,1.708,1.228,2.569,2.949,1.941,2.438,2.966,3.144,-60,92.0,104.0,32,76,112,136
1,3,13,2,19,66,1.304,1.383,2.401,2.401,1.969,2.456,2.775,3.447,12,132.0,132.0,84,136,156,188
1,3,13,13,65,91,1.72,1.201,2.833,2.685,1.946,2.397,2.591,3.309,-52,88.0,80.0,20,64,76,104
1,3,18,13,66,90,1.722,1.155,2.465,2.398,1.84,2.153,2.466,3.075,-60,72.0,64.0,12,36,68,96
1,3,19,2,70,102,1.586,1.205,2.984,2.984,1.921,2.329,2.837,2.909,-36,140.0,140.0,32,76,104,128
1,3,20,10,74,114,1.544,1.228,2.527,,1.69,2.105,2.49,2.921,-60,132.0,,28,84,100,160
1,3,25,10,109,136,1.625,1.464,,,1.95,2.142,2.266,2.776,-40,,,40,56,72,108
1,4,2,2,39,119,1.663,1.693,2.942,2.955,2.334,2.564,2.942,3.894,4,248.0,252.0,136,188,248,320
1,4,3,3,38,88,1.599,1.536,3.026,3.007,2.401,2.583,2.958,3.362,-8,176.0,172.0,116,132,168,200
1,4,3,3,87,135,1.688,1.542,2.724,2.983,2.286,3.149,3.511,4.267,-16,116.0,144.0,76,152,168,192
1,4,4,4,11,66,1.578,1.485,2.827,2.842,2.008,2.25,2.774,3.138,-12,188.0,192.0,80,124,180,220
1,4,9,4,11,59,1.676,1.512,3.004,3.161,2.177,2.314,2.597,3.233,-20,180.0,188.0,84,100,144,192
1,4,15,2,40,108,1.559,1.682,2.681,2.782,2.617,2.77,3.41,4.062,16,164.0,180.0,156,184,236,272
