Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
1,1,1,1,44,69,1.657,1.136,2.562,2.618,1.731,2.179,2.394,3.089,-60,64.0,68.0,8,40,56,100
1,1,1,1,69,94,1.352,1.179,2.836,2.91,1.399,2.619,2.819,3.241,-36,80.0,84.0,36,68,76,100
1,1,1,1,94,139,1.772,1.644,3.019,2.815,2.253,3.019,3.126,3.79,-16,136.0,120.0,80,136,144,180
1,1,1,1,139,170,2.038,1.501,2.79,2.711,2.329,2.372,2.416,3.088,-64,104.0,92.0,52,68,72,124
1,1,1,1,170,221,1.745,1.734,,,2.269,2.511,2.683,3.629,-4,,,120,148,160,204
1,1,1,1,221,240,1.989,1.573,2.55,2.55,2.222,2.267,2.291,3.106,-36,52.0,52.0,28,32,36,76
1,1,1,1,240,270,1.491,1.224,2.789,2.332,2.059,2.27,2.371,3.611,-24,76.0,72.0,36,64,80,120
1,1,9,9,38,75,1.377,1.087,2.333,2.333,1.744,2.266,2.379,3.619,-44,96.0,96.0,44,92,100,148
1,1,14,9,38,75,1.49,1.19,2.374,2.417,1.657,1.682,1.682,3.557,-36,116.0,120.0,56,64,64,148
1,1,16,1,44,69,1.65,1.14,2.258,2.258,1.752,2.177,2.372,2.893,-56,60.0,60.0,12,56,72,100
1,1,16,16,69,105,1.367,1.067,2.477,2.477,1.777,2.287,2.477,3.352,-40,104.0,104.0,36,96,104,144
1,1,18,1,70,101,1.566,1.249,2.626,2.626,2.082,2.238,2.566,3.533,-52,84.0,84.0,36,64,76,124
1,1,18,18,101,133,1.562,0.926,,,1.934,2.689,3.095,4.327,-76,,,28,80,92,128
1,1,18,18,133,147,2.312,1.231,2.605,2.644,2.312,2.264,2.605,3.328,-80,24.0,28.0,0,12,24,56
1,1,19,16,69,102,1.525,1.223,2.418,2.418,1.933,2.514,2.729,3.18,-36,80.0,80.0,48,84,92,132
1,1,22,1,94,124,1.47,1.266,2.534,2.534,2.057,2.304,2.433,3.297,-16,88.0,88.0,56,76,84,120
1,1,22,22,125,148,1.752,1.307,2.78,2.751,2.166,2.213,2.291,3.17,-36,68.0,64.0,36,40,44,92
