Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
1,1,1,1,67,107,1.783,1.783,,2.353,2.101,2.345,2.373,2.917,0.0,,176.0,100,120,128,160
1,1,1,1,107,164,1.406,1.254,2.401,,1.66,1.757,1.794,2.173,36.0,284.0,,152,172,176,228
1,2,1,1,69,125,1.675,1.712,2.849,2.797,2.146,2.34,2.428,3.07,12.0,208.0,204.0,128,164,176,224
1,2,1,1,125,171,1.47,1.199,2.53,2.53,1.926,2.012,2.096,2.432,-52.0,196.0,196.0,92,104,124,184
1,2,2,2,54,90,1.593,1.338,2.693,2.185,1.594,1.891,2.029,2.363,-36.0,184.0,164.0,44,80,100,144
1,2,4,4,54,105,1.458,1.396,2.773,2.801,2.009,2.157,2.269,2.718,-8.0,208.0,212.0,112,136,152,204
1,2,5,5,37,85,1.52,1.497,,,1.855,2.038,2.144,2.648,-4.0,,,104,140,144,192
1,2,18,2,56,84,1.556,1.345,2.572,2.572,1.988,2.222,2.381,2.809,-40.0,128.0,128.0,48,68,88,112
1,2,27,1,125,195,1.601,1.094,,,2.006,2.625,2.764,3.335,-92.0,,,68,196,216,280
1,3,11,1,48,97,1.821,2.003,,,2.583,2.897,2.912,3.206,32.0,,,128,148,152,196
2,2,1,1,26,66,1.543,1.465,2.15,2.14,1.781,1.876,2.107,2.438,-12.0,132.0,128.0,72,100,124,160
2,2,1,1,66,132,1.265,1.157,,2.203,1.671,1.745,1.745,2.203,-32.0,,264.0,188,204,204,264
2,2,2,2,30,94,1.246,1.275,2.578,2.578,1.894,1.93,2.047,2.578,4.0,256.0,256.0,160,164,188,256
2,2,5,5,12,44,1.796,,3.027,3.027,1.773,2.74,2.775,3.092,,124.0,124.0,-4,96,100,128
2,2,10,5,12,49,1.747,,2.604,2.604,1.829,2.941,2.895,3.345,,92.0,92.0,8,120,116,148
2,2,11,1,26,70,1.4,1.317,2.573,2.573,2.187,2.187,2.187,2.65,-12.0,168.0,168.0,116,116,116,176
2,2,11,11,70,125,1.253,1.264,2.465,2.586,1.777,2.054,2.275,2.571,-12.0,216.0,224.0,120,160,184,220
2,2,11,11,125,189,1.354,1.354,,,2.044,2.383,2.493,2.737,0.0,,,152,184,216,256
2,2,12,2,30,80,1.413,1.356,2.575,2.639,2.039,2.099,2.219,2.752,20.0,188.0,192.0,132,140,152,200
2,2,18,1,66,117,1.173,1.229,2.167,2.275,1.743,1.957,2.035,2.419,44.0,172.0,184.0,120,148,160,204
